"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","type","offsetLat","offsetLon","offsetLineLat","offsetLineLon"
"USGS","05428000","LAKE MENDOTA AT MADISON, WI","LK",430542,892212,43.0949956,-89.3701184,"M","S","NAD27","NAD83","55","55","025","US","  NWSES12 T7N   R9E   4","MADISON EAST","  24000",840,"L",0.01,"NGVD29","07090001","","","NNYNNNNNNNYYNNNNNNNNNNNNNNNNNN","","",233,196.4,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","05429000","LAKE MONONA AT MADISON, WI","LK",430348,892349,43.0633297,-89.3970636,"M","S","NAD27","NAD83","55","55","025","US","  SESWS23 T7N   R9E   4","MADISON WEST","  24000",840,"L",0.01,"NGVD29","07090001","","L","NNYNNNNNNNYYNNNNNNNNNNNNNNNNNN","","",279,242.4,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","05429485","LAKE WAUBESA AT MC FARLAND, WI","LK",430032,891819,43.00888889,-89.3052778,"M","S","NAD83","NAD83","55","55","025","US","  SWSWS3  T6N   R10E  4","MADISON EAST","  24000",840,"L",0.01,"NGVD29","07090001","","L","NNNYNNNNNNYYNNNNNNNNNNNNNNNNNN","","",327,290.4,"CST","Y","","","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","05545000","NORTH LAKE NEAR ELKHORN, WI","LK",424438,883745,42.74390169,-88.6292696,"M","S","NAD27","NAD83","55","55","127","US","","","",NA,"",NA,"","07120006","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",10.8,0.01,"CST","Y","","NNNNNNNN","","","",NA,NA,"","","Lake-stage station",0,0,0,0
"USGS","423525088260400","GENEVA LAKE AT LAKE GENEVA, WI","LK",423525,882604,42.59027778,-88.4344444,"M","S","NAD83","NAD83","55","55","127","US","  SENWS36 T2N   R17E  4","LAKE GENEVA","  24000",861.86,"L",0.01,"NAVD88","07120006","","","NNYNNNNNNNYYNNNNYNNNNNNNNNNNNN","","",28.7,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","24919KB30","Lake-stage station",0,0,0,0
"USGS","424848088083100","WIND LAKE AT OUTLET AT WIND LAKE, WI","LK",424848,880831,42.81334964,-88.1420325,"M","S","NAD27","NAD83","55","55","101","US","  NENWS16 T4N   R20E  4","WATERFORD","  24000",760.04,"L",0.01,"NAVD88","07120006","","","NNNNYNNNNNNYNYNNYNNNNNNNNNNNNN","","",39.6,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","24919KB55","Lake-stage station",0,0,0,0
"USGS","425715089164700","LAKE KEGONSA AT BARBER DRIVE NEAR STOUGHTON, WI","LK",425715,891647,42.95416667,-89.2797222,"M","S","NAD83","NAD83","55","55","025","US","SWNENES26 T6N   R10E  4","RUTLAND","  24000",840,"L",0.01,"NGVD29","07090001","","","NNYNNNNNNNYYNNNNNNNNNNNNNNNNNN","","",386,NA,"CST","Y","","","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","430251088284700","MIDDLE GENESEE LAKE AT GENESEE LK RD NR OCONOMOWOC","LK",430251,882847,43.0475,-88.4797222,"M","S","NAD83","NAD83","55","55","133","US","SWSWSWS22 T7N   R17E  4","OCONOMOWOC EAST","  24000",863,"M",5,"NGVD29","07090001","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","","","","","",NA,NA,"","24919KB55","Lake-stage station",0,0,0,0
"USGS","434928088553601","GREEN LAKE AT COUNTY TRUNK HWY A NR GREEN LAKE, WI","LK",434928,885536,43.82444444,-88.9266667,"M","S","NAD83","NAD83","55","55","047","US","NESESES27 T16N  R13E  4","GREEN LAKE","  24000",789.91,"L",0.01,"NAVD88","04030201","","","NNYNNNNNNNYYNNNNNNNNNNNNNNNNNN","","",103,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","24919KB27","Lake-stage station",0,0,0,0
"USGS","441257089071500","LONG LAKE NEAR SAXEVILLE, WI","LK",441256.6,890714.6,44.2157222,-89.1207222,"G","1","NAD83","NAD83","55","55","137","US","  SESWS7  T20N  R12E  4","SAXEVILLE","  24000",788.8,"L",0.1,"NAVD88","04030202","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","20100527",NA,NA,"CST","Y","","","","","",NA,NA,"","24919KB55","Lake-stage station",0,0,0,0
"USGS","453420091551600","SILVER LAKE NEAR CUMBERLAND, WI","LK",453420,915516,45.57217576,-91.9212869,"G","S","NAD27","NAD83","55","55","005","US","SENESWS25 T36N  R13W  4","LOWER VERMILLION LK","  24000",1250,"M",5,"NGVD29","07050007","","L","NNYNNNNNNNNYNYNNYNNNNNNNNNNNNN","","20041101",NA,NA,"CST","Y","","","","","",NA,NA,"","24919KB38","Lake-stage station",0,0,0,0
"USGS","461231091524900","WHITEFISH (BARDON) LAKE NEAR GORDON, WI","LK",461231,915249,46.20855306,-91.880465,"G","S","NAD27","NAD83","55","55","031","US","SWSWNWS16 T43N  R12W  4","MINONG FLOWAGE","  24000",1032,"M",5,"NGVD29","07030002","","L","NNYNNNNNNNNYNYNNYNNNNNNNNNNNNN","","20041026",NA,NA,"CST","Y","","","","","",NA,NA,"","24919KB37","Lake-stage station",0,0,0,0
